"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jaylen Wright","MIA","RB72","79.9","308.9","1.5","7.2","52.5","0.1","1.2","47.1"
"Elijah Arroyo","SEA","TE45","0.0","0.0","0.0","23.6","240.1","1.9","0.2","46.6"
"Mack Hollins","NE","WR115","0.0","0.0","0.0","21.5","257.6","1.6","0.2","45.7"
"Charlie Kolar","LAC","TE46","0.0","0.0","0.0","20.2","230.3","2.0","0.1","45.3"
"Tutu Atwell","LAR","WR116","2.2","11.4","0.1","21.1","301.4","0.5","0.2","44.7"
"Jawhar Jordan","HOU","RB73","51.3","218.0","1.1","11.0","86.0","0.5","0.5","44.6"
"Jonah Coleman","DEN","RB74","48.8","203.2","1.6","10.2","74.8","0.4","0.2","44.3"
"Demarcus Robinson","SF","WR117","0.5","2.5","0.0","17.6","251.5","1.7","0.0","44.1"
"Cyrus Allen","KC","WR118","0.0","0.0","0.0","19.4","245.8","1.6","0.2","43.2"
"Brock Wright","DET","TE47","0.0","0.0","0.0","20.9","187.6","2.3","0.0","43.0"
"Josh Oliver","MIN","TE48","0.0","0.0","0.0","18.6","194.3","2.4","0.1","42.8"
"Kyle Juszczyk","SF","RB75","4.2","10.3","0.1","23.7","207.8","1.5","0.1","42.8"
"Luke McCaffrey","WAS","WR119","0.0","0.0","0.0","14.4","221.1","2.3","0.0","42.7"
"Kyle Williams","NE","WR120","4.1","22.4","0.2","16.0","232.3","1.4","0.2","42.6"
"Daniel Bellinger","TEN","TE49","0.0","0.0","0.0","19.3","222.3","1.8","0.0","42.3"
"Emmett Johnson","KC","RB76","49.5","206.3","1.6","8.4","59.5","0.4","0.2","42.2"
"Austin Hooper","ATL","TE50","0.0","0.0","0.0","21.9","225.4","1.3","0.1","41.0"
"Tommy Tremble","CAR","TE51","0.0","0.0","0.0","21.1","197.8","1.8","0.1","40.8"
"Noah Gray","KC","TE52","0.0","0.0","0.0","21.1","212.0","1.5","0.1","40.5"
"Eli Stowers","PHI","TE53","0.0","0.0","0.0","20.9","214.5","1.4","0.6","39.1"
"Theo Wease Jr.","MIA","WR189","0.0","0.0","0.0","16.0","233.0","1.3","0.0","39.1"
"Kendrick Bourne","ARI","WR121","0.0","0.0","0.0","22.8","239.2","0.7","0.2","38.9"
"Dyami Brown","WAS","WR122","0.0","0.0","0.0","15.9","216.9","1.6","0.2","38.8"
"Isaiah Davis","NYJ","RB77","35.1","174.7","1.2","9.9","78.6","0.2","0.1","38.4"
"Adam Trautman","DEN","TE54","0.0","0.0","0.0","19.3","197.2","1.5","0.0","38.2"
"Treylon Burks","WAS","WR123","0.0","0.0","0.0","15.0","217.8","1.4","0.1","37.2"
"George Holani","SEA","RB78","38.9","164.1","1.5","8.0","62.2","0.3","0.2","37.1"
"Eli Raridon","NE","TE55","0.0","0.0","0.0","18.8","195.4","1.6","0.6","37.1"
"Kalif Raymond","CHI","WR124","4.6","27.2","0.2","19.2","186.9","0.9","0.2","36.8"
"Devontez Walker","BAL","WR125","0.0","0.0","0.0","14.5","208.8","1.5","0.2","36.6"
"LeQuint Allen Jr.","JAC","RB79","32.0","126.0","0.6","15.3","99.1","0.4","0.1","36.2"
"Davis Allen","LAR","TE56","0.0","0.0","0.0","16.9","157.3","1.9","0.0","35.4"
"Ben Sims","MIA","TE57","0.0","0.0","0.0","19.5","184.6","1.2","0.0","35.1"
"Ja'Tavion Sanders","CAR","TE58","0.0","0.0","0.0","22.3","178.1","1.0","0.1","35.0"
"Elijah Higgins","ARI","TE59","0.0","0.0","0.0","22.0","201.5","0.8","0.6","35.0"
"Marlin Klein","HOU","TE60","0.0","0.0","0.0","19.5","192.5","1.1","0.5","34.6"
"Luke Musgrave","GB","TE61","0.0","0.0","0.0","18.8","183.8","1.1","0.0","34.4"
"Jerome Ford","WAS","RB80","35.0","194.0","1.0","8.0","46.0","0.0","0.0","34.0"
"John Bates","WAS","TE62","0.0","0.0","0.0","17.1","169.9","1.6","0.6","33.9"
"Frank Gore Jr.","BUF","RB81","37.0","175.0","2.0","3.0","26.0","0.0","0.0","33.6"
"Roschon Johnson","CHI","RB82","34.0","116.0","3.0","3.0","18.0","0.0","0.0","32.9"
