"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"171",11,"Hunter Henry",NE,"TE25","31","124","231","175.9","30.0","+3"
"172",11,"Troy Franklin",DEN,"WR74","23","148","212","176.0","21.3","+36"
"173",11,"Michael Penix Jr.",ATL,"QB28","26","154","215","176.4","19.3","+107"
"174",11,"Nicholas Singleton",TEN,"RB47","22","146","226","179.6","24.6","-38"
"175",11,"Chris Rodriguez Jr.",JAC,"RB48","26","129","202","180.9","20.1","-13"
"176",11,"Kayshon Boutte",HOU,"WR75","24","138","248","181.0","25.2","+2"
"177",11,"Isaac TeSlaa",DET,"WR76","24","122","237","183.2","29.7","-6"
"178",11,"Dylan Sampson",CLE,"RB49","21","162","216","183.4","19.1","-20"
"179",11,"Ted Hurst III",TB,"WR77","22","107","260","168.5","40.1","+25"
"180",11,"Dalton Schultz",HOU,"TE26","30","144","255","186.1","30.7","+33"
"181",11,"Keaton Mitchell",LAC,"RB50","24","136","216","186.5","20.6","-12"
"182",11,"Gunnar Helm",TEN,"TE27","23","153","219","187.6","18.8","-3"
"183",11,"Mike Washington Jr.",LV,"RB51","23","156","230","187.9","22.7","-18"
"184",11,"Ty Simpson",LAR,"QB29","23","142","177","156.2","9.7","+19"
"185",11,"Aaron Jones Sr.",MIN,"RB52","31","156","216","191.1","20.4","-32"
"186",11,"Elijah Sarratt",BAL,"WR78","23","133","238","177.5","32.0","-32"
"187",11,"Malachi Fields",NYG,"WR79","23","145","278","195.0","37.4","-19"
"188",11,"Tyjae Spears",TEN,"RB53","25","172","233","195.3","17.2","-32"
"189",11,"Zachariah Branch",ATL,"WR80","22","138","276","197.1","33.3","-51"
"190",11,"Dontayvion Wicks",PHI,"WR81","25","157","282","199.1","32.7","+74"
"191",11,"Tank Bigsby",PHI,"RB54","24","178","233","201.4","17.8","-31"
"192",11,"Max Klare",LAR,"TE28","23","157","289","202.1","33.6","+52"
"193",11,"Elic Ayomanor",TEN,"WR82","23","161","246","202.1","27.9","+55"
"194",11,"Braelon Allen",NYJ,"RB55","22","181","220","202.5","13.7","-42"
"195",11,"Kaytron Allen",WAS,"RB56","23","146","245","203.3","22.9","+6"
"196",11,"Shedeur Sanders",CLE,"QB30","24","174","222","204.1","12.2","+74"
"197",11,"Cade Otton",TB,"TE29","27","171","255","207.1","21.6","+50"
"198",12,"David Njoku",LAC,"TE30","30","184","264","212.1","22.6","+20"
"199",12,"Chris Brazzell II",CAR,"WR83","22","151","312","199.2","45.1","+40"
"200",12,"Isiah Pacheco",DET,"RB57","27","178","262","213.8","23.0","-33"
"201",12,"Tory Horton",SEA,"WR84","23","153","280","214.9","34.0","+44"
"202",12,"Kyle Williams",NE,"WR85","23","173","252","215.9","24.4","+83"
"203",12,"Jack Bech",LV,"WR86","23","183","260","216.6","23.3","+74"
"204",12,"Alvin Kamara",NO,"RB58","31","178","288","216.6","32.3","-31"
"205",12,"Calvin Ridley",TEN,"WR87","31","151","257","202.7","31.9","+70"
"206",12,"Chimere Dike",TEN,"WR88","24","179","249","216.9","20.4","+14"
"207",12,"Jalen Nailor",LV,"WR89","27","152","283","203.1","36.5","-5"
"208",12,"Tua Tagovailoa",ATL,"QB31","28","204","268","217.4","19.6","-"
"209",12,"Tre Tucker",LV,"WR90","25","152","278","217.4","39.9","+26"
"210",12,"Brian Robinson Jr.",ATL,"RB59","27","184","298","218.6","29.4","-5"
"211",12,"Mason Taylor",NYJ,"TE31","22","186","243","206.0","16.1","-35"
"212",12,"Pat Freiermuth",PIT,"TE32","27","182","264","210.9","24.7","+38"
"213",12,"Skyler Bell",BUF,"WR91","24","137","254","196.5","35.8","+1"
"214",12,"Oscar Delp",NO,"TE33","23","123","293","196.9","47.3","+60"
"215",12,"Darnell Mooney",NYG,"WR92","28","175","236","213.0","19.4","+71"
"216",12,"Kimani Vidal",LAC,"RB60","25","202","290","227.9","21.4","-7"
"217",12,"Ryan Flournoy",DAL,"WR93","26","169","280","217.4","38.2","+21"
"218",12,"Keon Coleman",BUF,"WR94","23","179","344","234.3","38.2","-6"
"219",12,"Rashod Bateman",BAL,"WR95","26","175","241","222.9","18.2","+50"
"220",12,"Eli Raridon",NE,"TE34","22","129","303","191.4","44.6","+39"
"221",12,"Greg Dulcich",MIA,"TE35","26","153","260","192.2","27.0","-"
"222",12,"Demond Claiborne",MIN,"RB61","22","174","338","237.7","47.0","+8"
"223",12,"Tank Dell",HOU,"WR96","26","184","307","227.6","36.3","-53"
"224",12,"Aaron Rodgers",PIT,"QB32","42","167","270","228.1","33.9","-"
"225",12,"Cyrus Allen",KC,"WR97","23","148","280","214.3","37.6","-30"
"226",12,"MarShawn Lloyd",GB,"RB62","25","165","322","230.5","54.6","0"
"227",12,"Geno Smith",NYJ,"QB33","35","179","298","232.0","29.3","-"
"228",12,"Ollie Gordon II",MIA,"RB63","22","222","297","244.2","24.3","+9"
"229",12,"Malik Washington",MIA,"WR98","25","175","281","232.5","33.2","-22"
"230",12,"Marvin Mims Jr.",DEN,"WR99","24","194","350","244.9","34.6","-"
"231",12,"Jaylen Wright",MIA,"RB64","23","216","319","249.1","28.1","+9"
"232",12,"Christian Kirk",SF,"WR100","29","211","343","242.0","33.1","-"
"233",12,"Ray Davis",BUF,"RB65","26","204","312","253.6","27.8","+8"
"234",12,"James Conner",ARI,"RB66","31","196","363","254.8","43.9","-18"
"235",12,"Tyreek Hill",FA,"WR101","32","209","257","231.0","17.2","-16"
"236",12,"Denver Broncos",DEN,"DST1","-","225","248","232.4","6.1","-51"
"237",12,"J.J. McCarthy",MIN,"QB34","23","166","256","218.9","25.9","-"
"238",12,"Elijah Arroyo",SEA,"TE36","23","188","230","202.1","13.7","+44"
"239",12,"Theo Johnson",NYG,"TE37","25","195","305","235.6","37.8","+13"
"240",12,"Kaleb Johnson",PIT,"RB67","23","197","327","259.3","40.7","-30"
"241",12,"Keenan Allen",IND,"WR102","34","174","370","249.3","44.0","+14"
"242",12,"Bryce Lance",NO,"WR103","24","139","268","205.5","41.9","-"
"243",12,"Caleb Douglas",MIA,"WR104","22","136","270","205.6","37.2","-19"
"244",12,"Sean Tucker",TB,"RB68","24","207","310","261.7","33.5","+2"
"245",13,"Michael Mayer",LV,"TE38","25","191","269","225.4","21.6","+43"
"246",13,"Jacoby Brissett",ARI,"QB35","33","150","314","225.6","40.8","-"
"247",13,"Philadelphia Eagles",PHI,"DST2","-","228","252","241.4","7.9","-60"
"248",13,"Houston Texans",HOU,"DST3","-","228","310","241.5","21.4","-65"
"249",13,"Kaelon Black",SF,"RB69","24","191","325","243.7","47.3","-50"
"250",13,"Emanuel Wilson",SEA,"RB70","27","191","318","266.5","41.5","+1"
"251",13,"Cooper Kupp",SEA,"WR105","33","201","372","260.5","39.4","+12"
"252",13,"Xavier Legette",CAR,"WR106","25","209","315","261.4","27.1","+24"
"253",13,"Brandon Aiyuk",SF,"WR107","28","170","357","236.3","50.4","-36"
"254",13,"Los Angeles Rams",LAR,"DST4","-","234","301","250.8","17.5","-73"
"255",13,"Justin Joly",DEN,"TE39","22","164","321","238.4","48.7","-"
"256",13,"Devin Neal",NO,"RB71","23","219","357","273.5","45.2","+28"
"257",13,"Brandon Aubrey",DAL,"K1","31","206","249","243.0","12.1","-77"
"258",13,"Mac Jones",SF,"QB36","27","166","269","211.3","37.9","-"
"259",13,"Cam Little",JAC,"K2","23","243","253","249.0","3.3","-73"
"260",13,"Trey Benson",ARI,"RB72","24","198","333","284.0","42.6","-96"
"261",13,"Seattle Seahawks",SEA,"DST5","-","231","305","254.0","24.5","-79"
"262",13,"Isaiah Davis",NYJ,"RB73","24","226","343","287.1","30.9","-"
"263",13,"Cameron Dicker",LAC,"K3","26","245","282","256.2","12.4","-79"
"264",13,"Devaughn Vele",NO,"WR108","28","248","361","268.6","29.9","-"
"265",13,"Adam Randall",BAL,"RB74","22","200","344","268.7","48.4","-29"
"266",13,"Pittsburgh Steelers",PIT,"DST6","-","244","318","269.8","22.0","-74"
"267",13,"Jaydon Blue",DAL,"RB75","22","243","336","288.7","27.1","-34"
"268",13,"Minnesota Vikings",MIN,"DST7","-","239","302","271.0","19.1","-71"
"269",13,"Deshaun Watson",CLE,"QB37","30","204","283","251.7","21.6","-"
"270",13,"Hollywood Brown",PHI,"WR109","29","229","399","277.2","50.2","-"
"271",13,"Evan Engram",DEN,"TE40","32","199","319","270.4","45.7","-"
"272",13,"Jordan James",SF,"RB76","22","218","359","290.6","34.3","0"
"273",13,"Ka'imi Fairbairn",HOU,"K4","32","247","309","271.4","21.4","-85"
"274",13,"Kirk Cousins",LV,"QB38","38","222","325","259.6","25.7","-"
"275",13,"Tez Johnson",TB,"WR110","24","227","315","261.9","26.3","-"
"276",13,"Carson Beck",ARI,"QB39","23","215","263","249.0","14.4","-42"
"277",13,"Kansas City Chiefs",KC,"DST8","-","233","330","287.1","28.8","-"
"278",13,"Will Reichard",MIN,"K5","25","242","302","266.4","20.9","-55"
"279",13,"Brashard Smith",KC,"RB77","23","225","365","305.4","39.0","-"
"280",13,"Green Bay Packers",GB,"DST9","-","255","336","289.9","26.7","-24"
"281",13,"Chris Boswell",PIT,"K6","35","252","318","280.9","18.5","-60"
"282",13,"DJ Giddens",IND,"RB78","23","219","369","301.2","42.5","-4"
"283",13,"DeMario Douglas",NE,"WR111","25","214","372","271.7","41.5","-"
"284",13,"Isaiah Bond",CLE,"WR112","22","226","380","293.7","56.1","-5"
"285",13,"Cedric Tillman",FA,"WR113","26","201","320","273.3","33.1","-"
"286",13,"Brenen Thompson",LAC,"WR114","23","224","292","242.3","21.1","-37"
"287",13,"Baltimore Ravens",BAL,"DST10","-","275","355","297.6","24.3","-91"
"288",13,"Wil Lutz",DEN,"K7","32","270","339","289.8","18.9","-"
"289",14,"Kevin Coleman Jr.",MIA,"WR115","22","176","295","226.7","40.9","-6"
"290",14,"Chase McLaughlin",TB,"K8","30","263","314","290.2","15.6","-23"
"291",14,"Jason Myers",SEA,"K9","35","246","313","279.4","20.8","-102"
"292",14,"Anthony Richardson Sr.",IND,"QB40","24","167","258","227.4","31.1","-"
"293",14,"Evan McPherson",CIN,"K10","27","260","321","291.4","20.3","-99"
"294",14,"Jacksonville Jaguars",JAC,"DST11","-","253","330","291.6","26.1","-65"
"295",14,"Detroit Lions",DET,"DST12","-","239","347","283.4","35.4","-70"
"296",14,"Harrison Butker",KC,"K11","31","244","353","283.4","31.6","-74"
"297",14,"New England Patriots",NE,"DST13","-","266","317","288.4","15.5","-107"
"298",14,"Jake Bates",DET,"K12","27","267","342","298.6","24.5","-105"
"299",14,"Jarquez Hunter",MIA,"RB79","23","220","368","298.8","45.9","-"
"300",14,"Drew Allar",PIT,"QB41","22","205","324","267.4","34.1","-42"
"301",14,"Seth McGowan",IND,"RB80","24","222","386","296.3","48.0","-36"
"302",14,"Chris Brooks",GB,"RB81","26","263","342","298.2","22.1","-"
"303",14,"Los Angeles Chargers",LAC,"DST14","-","269","332","298.2","20.0","-43"
"304",14,"Tahj Brooks",CIN,"RB82","24","274","385","321.9","34.6","-"
"305",14,"Darius Slayton",NYG,"WR116","29","240","377","287.1","43.9","-"
"306",14,"Tyler Loop",BAL,"K13","25","260","326","288.3","23.1","-49"
"307",14,"Kendre Miller",NO,"RB83","24","276","364","318.3","35.9","-"
"308",14,"Najee Harris",NYG,"RB84","28","281","362","311.8","27.1","-"
"309",14,"Colby Parkinson",LAR,"TE41","27","189","311","261.9","42.0","-"
"310",14,"Jalen Royals",KC,"WR117","23","236","350","281.3","33.2","-"
"311",14,"Andrei Iosivas",CIN,"WR118","26","252","320","285.3","21.5","-"
"312",14,"Darnell Washington",PIT,"TE42","25","221","324","269.9","37.7","-"
"313",14,"LeQuint Allen Jr.",JAC,"RB85","22","263","363","317.6","33.5","-"
"314",14,"Ben Sinnott",WAS,"TE43","24","206","355","286.5","41.1","-"
"315",14,"Buffalo Bills",BUF,"DST15","-","274","347","301.6","20.7","-19"
"316",14,"Cleveland Browns",CLE,"DST16","-","276","347","312.0","19.7","-"
"317",14,"Cole Kmet",CHI,"TE44","27","231","294","256.0","21.5","-"
"318",14,"Jerome Ford",WAS,"RB86","26","247","325","293.5","21.5","-"
"319",14,"Mike Gesicki",CIN,"TE45","30","218","322","294.3","34.0","-"
"320",14,"Jalen Milroe",SEA,"QB42","23","247","271","259.2","7.2","-"
"321",14,"Jake Tonges",SF,"TE46","27","257","354","296.9","34.3","-68"
"322",14,"Eli Heidenreich",PIT,"RB87","23","214","329","298.9","35.2","-"
"323",14,"Justin Fields",KC,"QB43","27","247","296","266.5","15.7","-"
"324",14,"Cade Klubnik",NYJ,"QB44","22","258","300","268.0","14.7","-"
"325",14,"Isaac Guerendo",SF,"RB88","26","275","397","330.6","38.3","-"
"326",14,"Matt Hibner",BAL,"TE47","24","188","335","273.5","54.5","-"
"327",14,"Ja'Tavion Sanders",CAR,"TE48","23","261","344","308.0","29.7","-"
"328",14,"George Holani",SEA,"RB89","26","237","388","309.8","44.7","-"
"329",14,"Tyquan Thornton",KC,"WR119","26","235","340","280.7","31.9","-"
"330",14,"Trevor Etienne",CAR,"RB90","22","268","393","329.2","44.5","-"
"331",14,"Jake Moody",FA,"K14","26","259","308","281.5","14.6","-"
