"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"138","Craig Reynolds (DET)","3","4","1.3","3","0","0","0","0","0","0","0","0","6","0.4","0.1","1.1%"
"138","Sione Vaki (DET)","1","4","4.0","4","0","0","0","0","0","0","0","0","8","0.4","0.1","0.6%"
"140","Kendall Milton (CIN)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"141","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"141","Chase Edmonds (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"141","Jeff Wilson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"141","Alexander Mattison (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"141","Jakob Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"141","Andrew Beck (NYJ)","1","5","5.0","5","0","0","9","6","45","7.5","2","0","17","0.0","0.0","0.1%"
"141","Trey Sermon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"141","Raheem Blackshear (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.6%"
"141","Elijah Mitchell (KC)","0","0","0","0","0","0","1","0","0","0","0","0","1","0.0","0.0","1.2%"
"141","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Jashaun Corbin (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"141","Ulysses Bentley IV (IND)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"141","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"141","Sincere McCormick (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"141","Avery Williams (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"141","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"141","Velus Jones Jr. (SEA)","4","32","8.0","25","1","0","0","0","0","0","0","0","6","0.0","0.0","1.6%"
"141","Connor Heyward (PIT)","15","43","2.9","29","1","2","4","3","21","7.0","1","0","16","0.0","0.0","0.1%"
"141","Xazavian Valladay (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"141","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","2.0%"
"141","Scott Matlock (LAC)","0","0","0","0","0","0","4","4","12","3.0","1","0","16","0.0","0.0","1.2%"
"141","Brady Russell (SEA)","0","0","0","0","0","0","1","0","0","0","0","0","16","0.0","0.0","0.0%"
"141","Jordan Mims (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","1.1%"
"141","Jack Westover (NE)","0","0","0","0","0","0","2","1","0","0.0","0","0","17","0.0","0.0","0.0%"
"141","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Jordan James (SF)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","5.1%"
"141","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"141","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"172","Nyheim Miller-Hines (NO)","2","-2","-1.0","1","0","0","0","0","0","0","0","0","4","-0.2","-0.1","0.0%"
"172","Travis Homer (CHI)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","8","-0.2","0.0","1.0%"
""
""
